Date,Username,Locations,Content,Retweets,Favorites
2022-12-20 23:59:08+00:00,knew_channel,Hong Kong,No one to talk or make hype on this such a shame #FIFAWorldCup #leomessi #elonmusk https://t.co/UWfqybXk0C,0,0
2022-12-20 23:58:15+00:00,christo_comedy,"Abia, Nigeria","Shout out verse fake life 😩
-
Birthday Blessings to a Bloda 🙌
Like and share with someone 😩🙏
#audioleak 
#FIFAWorldCup #chainsawman #GOAT𓃵 #Messi𓃵 #Messi #birthdayboy #Birthday #christo_comedy https://t.co/72OP6yURR7",0,1
2022-12-20 23:57:55+00:00,beINSPORTSUSA,United States,"This is how Leo Messi arrived at his home in Rosario, Argentina! 🚨🐐

#Qatar2022 #FIFAWorldCup 
(🎥: tomasdvoretzky/ig) #ARG https://t.co/N4oRqQdTqX",29,173
2022-12-20 23:57:51+00:00,StatsDataFacts,"London, England","Countries with the most FIFA World Cup titles as of 2022:
#Brazil 🇧🇷- 5
#Germany 🇩🇪- 4
#Italy 🇮🇹- 4
#Argentina 🇦🇷- 3
#Uruguay 🇺🇾- 2
#France 🇫🇷- 2
#England 🏴󠁧󠁢󠁥󠁮󠁧󠁿- 1
#Spain 🇪🇸- 1

#FIFAWorldCup #Fifa https://t.co/FHk2QMHI1Y",0,1
2022-12-20 23:57:51+00:00,CharlesTheSwift,New York,"Will @KMbappe hairline survive until the next word cup, I truly hope so🤞. Happy birthday Champ! #france #AllezLesBleus #WorldCup #football #KylianMbappe #viral #soccer #FIFAWorldCup",0,0
2022-12-20 23:57:49+00:00,Trejotips,"Lisbon, Portugal","🧨KAAAAAAAAAAAAAABOOOOOOM🧨
💥🎈“Success in life will create a crowd for you. Loneliness in life will create space for you, but tough times in life will create the true person in you.

🎉 Congratulations all my winners🎉
✅ For More winning, join  now👇
@Trejotips #FIFAWorldCup https://t.co/3yVNv3u0Vm",0,0
2022-12-20 23:56:17+00:00,serggrzn,Houston,Still in disbelief… seen my favorite player finally cross that hurdle and win the @FIFAWorldCup #FIFAWorldCup what a game…what a story…what a month! I got my Christmas present 😊 thank you Messi! Thank you @Argentina #Messi𓃵 #WorldCupFinal #FIFAWorldCupQatar2022 #arg,0,0
2022-12-20 23:55:56+00:00,lc__christ,,"@FIFAWorldCup kingsley coman, man really change the final game #FIFAWorldCup",0,0
2022-12-20 23:55:44+00:00,HaythemHammour,"Austin, TX","Dear ""white"" French people, 
you call them French when they bring glory, and monkeys when they lose, even if they make it to the World Cup finals...
Regardless! We are proud of them all the time, regardless of the color of their flags. 
#Racism 
#France
#FIFAWorldCup https://t.co/OTIpVRngIA",0,0
2022-12-20 23:55:43+00:00,cyborgparade,Berlin,finally revealed: the real reason why #argentina won the world cup!!! salt bae was everywhere!#FIFAWorldCup2022 #messi #saltbae https://t.co/nyLzSipxmR,0,0
